Component,% w/w,Functional role
Water (Aqua),71.2,Primary solvent / vehicle
Glycerin,5,Humectant (supports epidermal hydration environment)
Niacinamide,4,Barrier repair signaling / supports AQP3-associated hydration pathways
Panthenol,2,Barrier support / soothing humectant co-active
Sodium PCA,2,Natural moisturizing factor (osmolyte hydration support)
Sodium Hyaluronate (multi-MW blend),0,Surface + mid-layer hydration retention
Madecassoside,0,ECM signaling / barrier recovery support
EGCG (green tea fraction),0.2,Antioxidant / MMP-support modulation
Ferulic Acid,0.3,Antioxidant stabilizer / oxidative ECM protection
Allantoin,0.3,Skin soothing / irritation mitigation
Propanediol,5,Humectant co-solvent / penetration support
Carbomer,0.3,Rheology modifier
Tromethamine,0.4,pH adjustment (target ~5.5)
Disodium EDTA,0.05,Metal chelator (polyphenol stabilization)
Phenoxyethanol,0.8,Preservative
Ethylhexylglycerin,0.5,Preservative booster / humectant support
Caprylyl Glycol,0.6,Preservation support / emollient
Total,100,—