Vecurate id,SMILES
NYB0000001,C1=CC(=C(C(=C1)O)O)C(=O)O
NYB0000002,CCC(C)C(=O)C(=O)O
NYB0000003,CC(C)C(=O)C(=O)O
NYB0000004,C(CC(=O)O)C(=O)C(=O)O
NYB0000005,CC(C)CC(=O)C(=O)O
NYB0000006,C1=CC(=C(C=C1C(=O)O)O)O
NYB0000007,C1=CC(=C(C(=C1)O)N)C(=O)O
NYB0000008,CC(=O)CC(=O)O
NYB0000009,C1=CC(=CC(=C1)O)C=O
NYB0000010,C1=CC(=CC(=C1)O)CO
NYB0000011,C1=CC=C(C=C1)CCC(=O)O
NYB0000012,C(CC(=O)O)CN
NYB0000013,C1=CC(=CC=C1CO)O
NYB0000014,C1=CC(=CC=C1C=O)O
NYB0000015,C1=CC(=CC=C1CC(=O)O)O
NYB0000016,CC(C)CCC=O
NYB0000017,C1=CC(=CC=C1C(=O)O)O
NYB0000018,C(CC(=O)O)C(=O)CN
NYB0000019,C1=CC2=C(C=C1O)C(=CN2)CC(C(=O)O)N
NYB0000020,CC(=O)[O-]
NYB0000021,CC(=O)O
NYB0000022,CC=O
NYB0000023,CC(C(=O)C)O
NYB0000024,CC(=O)C
NYB0000025,CC(=O)OCC[N+](C)(C)C
NYB0000026,C1=NC2=NC=NC(=C2N1)N
NYB0000027,C(CCN=C(N)N)CN
NYB0000028,C1(C(=O)NC(=O)N1)NC(=O)N
NYB0000029,C1=CC=C(C(=C1)C(=O)O)N
NYB0000030,C(CC(C(=O)O)N)CN=C(N)N
NYB0000031,C(C(C(=O)O)N)C(=O)N
NYB0000032,C(CN)C(=O)O
NYB0000033,C1=CC=C(C=C1)C=O
NYB0000034,C1=CC=C(C=C1)C(=O)O
NYB0000035,C1=CC=C(C=C1)CO
NYB0000036,C[N+](C)(C)CC(=O)[O-]
NYB0000037,CCCC=O
NYB0000038,CC(C(C)O)O
NYB0000039,CCCCO
NYB0000040,CCCC(=O)O